genre,n_tracks,bpm_mean,bpm_std,bpm_values,beat_cv_mean,beat_cv_std,beat_cv_values,tresillo_index_mean,tresillo_index_std,tresillo_index_values,tresillo_lf_mean,tresillo_lf_std,tresillo_lf_values,tresillo_lf_ratio_mean,tresillo_lf_ratio_std,tresillo_lf_ratio_values,tresillo_mean_windowed_mean,tresillo_mean_windowed_std,tresillo_mean_windowed_values,tresillo_cv_windowed_mean,tresillo_cv_windowed_std,tresillo_cv_windowed_values,events_per_sec_mean,events_per_sec_std,events_per_sec_values,percussive_pct_mean,percussive_pct_std,percussive_pct_values,spectral_entropy_mean,spectral_entropy_std,spectral_entropy_values,dynamic_range_mean,dynamic_range_std,dynamic_range_values,spectral_centroid_hz_mean,spectral_centroid_hz_std,spectral_centroid_hz_values
Circuit,3,129.2,0.0,129.2|129.2|129.2,0.044,0.004,0.039|0.05|0.044,0.613,0.096,0.503|0.738|0.599,0.712,0.069,0.618|0.784|0.733,1.172,0.077,1.23|1.063|1.223,0.689,0.116,0.527|0.797|0.742,0.252,0.055,0.174|0.286|0.295,4.45,1.411,6.27|2.83|4.25,39.333,3.047,43.5|38.2|36.3,5.547,0.26,5.65|5.19|5.8,0.523,0.246,0.364|0.871|0.335,2295.333,343.115,2119.0|1992.0|2775.0
Tribal House,3,120.6,12.162,129.2|129.2|103.4,0.044,0.029,0.019|0.028|0.084,0.572,0.119,0.51|0.468|0.739,0.626,0.042,0.566|0.658|0.654,1.133,0.215,1.108|1.408|0.884,0.622,0.146,0.623|0.442|0.8,0.213,0.064,0.237|0.125|0.276,5.267,1.172,3.62|5.93|6.25,34.867,3.896,29.4|37.0|38.2,5.673,0.303,5.32|5.64|6.06,0.539,0.22,0.849|0.405|0.364,2869.333,389.843,2737.0|2472.0|3399.0
House,3,121.167,2.593,123.0|117.5|123.0,0.022,0.003,0.024|0.023|0.018,0.525,0.031,0.515|0.492|0.567,0.665,0.113,0.676|0.521|0.797,1.26,0.147,1.313|1.059|1.407,0.5,0.018,0.511|0.475|0.514,0.118,0.038,0.148|0.064|0.143,4.75,0.418,4.9|4.18|5.17,43.033,7.892,33.7|53.0|42.4,5.67,0.38,5.33|5.48|6.2,0.381,0.07,0.346|0.478|0.318,2773.667,766.649,1789.0|2873.0|3659.0
Disco,3,114.333,6.41,123.0|112.3|107.7,0.022,0.001,0.023|0.021|0.022,0.532,0.03,0.553|0.49|0.554,0.603,0.016,0.582|0.619|0.608,1.137,0.09,1.052|1.262|1.096,0.533,0.033,0.542|0.489|0.569,0.086,0.008,0.096|0.087|0.076,5.737,1.714,8.15|4.73|4.33,48.967,1.25,49.8|49.9|47.2,5.777,0.38,6.05|6.04|5.24,0.466,0.054,0.402|0.461|0.535,2549.667,542.396,2819.0|3037.0|1793.0
Jazz,4,112.0,21.497,136.0|99.4|129.2|83.4,0.047,0.013,0.027|0.062|0.055|0.044,0.767,0.081,0.843|0.638|0.826|0.76,0.741,0.096,0.83|0.578|0.784|0.771,0.964,0.04,0.985|0.907|0.948|1.014,0.78,0.06,0.833|0.709|0.845|0.734,0.13,0.07,0.079|0.176|0.045|0.219,3.492,0.72,3.2|3.7|2.55|4.52,27.7,8.661,17.0|34.2|38.0|21.6,5.293,0.374,5.16|5.93|4.98|5.1,0.647,0.203,0.778|0.432|0.91|0.466,1994.0,596.643,1938.0|2887.0|1206.0|1945.0
